gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	DEG
RP23-57F11.1	-3.36252661132809	-0.774463176588588	-13.1068533816445	2.9886348713229e-19	2.70909908275965e-17	33.5123601903337	Yes
Ikbip	-1.03302520793214	3.79251892240803	-13.0947498788501	3.11454035017124e-19	2.80642332267216e-17	33.4713670560818	Yes
Adrbk2	-1.40091827183653	4.15781264026348	-13.0780967740584	3.2965889855263e-19	2.95288544750871e-17	33.4149334966852	Yes
Ltbp3	-0.946552977185377	5.15096916959914	-13.0679761951585	3.41244413256631e-19	3.0386811340464e-17	33.3806193726594	No
Aif1l	-2.8931524597197	1.16808901288865	-13.0650512006785	3.44668860053279e-19	3.05122643478745e-17	33.3706995854642	Yes
Rbms3	-1.3190927966734	3.36009319448166	-13.0501615254431	3.62647235787189e-19	3.19171735775957e-17	33.320185518575	Yes
Arl4a	-1.07204697055186	4.54776330628439	-13.0408317931087	3.74392594783854e-19	3.27604341031097e-17	33.2885190336963	Yes
Gstt1	-1.07155301216349	3.7228946707394	-13.0374670490242	3.7872226647689e-19	3.29488371834894e-17	33.2770957921258	Yes
Rnasel	-1.57643646693748	2.49291451676653	-13.0318891874248	3.8601154110933e-19	3.33911011960745e-17	33.2581557837815	Yes
Cyp2d22	-1.17662197036981	4.48465204647717	-13.0300687821136	3.88421058695672e-19	3.34086249234948e-17	33.2519735894583	Yes
Gprasp2	-2.01917207942787	0.913366512757516	-13.0255645004407	3.94448566203817e-19	3.37353807638044e-17	33.23667493622	Yes
Gne	-1.03353601346026	4.38524999478474	-13.0206473735557	4.01136562375834e-19	3.41146364114909e-17	33.2199710254269	Yes
Sbk2	-4.02826537108334	3.56199502799251	-13.0159547661432	4.07626081193749e-19	3.44728693693351e-17	33.2040268663738	Yes
Bmx	-2.43610360146941	1.50361726088195	-13.0141882109864	4.10096502531466e-19	3.44891158628963e-17	33.198023860127	Yes
C1ra	-1.10255688082915	4.28342368255957	-13.0114592915927	4.13942518872416e-19	3.46202312192852e-17	33.1887497976633	Yes
Camk1g	-4.77940968352376	-1.66691186110028	-13.0054946917178	4.22476204170411e-19	3.51398064765477e-17	33.168476072826	Yes
Ndnf	-2.14876007501574	3.16604430999722	-13.0035356212662	4.25317718915684e-19	3.51828395024351e-17	33.161816157004	Yes
Ptgfrn	-1.23146019406818	5.59005692269214	-12.9791684291453	4.62318807836895e-19	3.80357723534506e-17	33.0789370880383	Yes
Kdelr2	-0.87946758268281	4.34658462130036	-12.9737570093462	4.70968127549664e-19	3.85379217018747e-17	33.0605208860369	No
Grin2a	-3.24299150626161	-2.15878212545274	-12.9536661048726	5.04536696061662e-19	4.09568896367517e-17	32.9921136849125	Yes
Abi3bp	-1.54261861203852	3.35216100681705	-12.9528552170607	5.05941231475265e-19	4.09568896367517e-17	32.9893515938911	Yes
Psip1	-0.838890532320784	4.54020317540212	-12.9475404733191	5.15245249190581e-19	4.14882052247182e-17	32.9712460833484	No
Fam189b	-1.11248846005756	1.77518148973323	-12.9375151030016	5.33269279669626e-19	4.27123299240148e-17	32.9370829941006	Yes
Tgfa	-1.92529465122039	0.903808917795985	-12.9335018353008	5.40661954629742e-19	4.3076529837816e-17	32.9234034324021	Yes
Nfasc	-4.61602864161173	-2.0566271598272	-12.9295340915453	5.48072627054851e-19	4.34383425568395e-17	32.9098769659734	Yes
Stmnd1	-4.37470609320989	-2.23929182089375	-12.9210771051367	5.6421252814375e-19	4.44846315158338e-17	32.8810392959256	Yes
Scd2	-1.53820006558819	4.43667068386767	-12.888151744213	6.31762571451202e-19	4.9552444593929e-17	32.7686770185867	Yes
Arrb1	-1.0467619173592	4.99938025623335	-12.8808163511697	6.478933542589e-19	5.05557195709857e-17	32.7436246305193	Yes
Stxbp2	-1.51063666057956	1.51980412939071	-12.8668586670258	6.79745924597216e-19	5.27691990079624e-17	32.6959358155541	Yes
B4galt5	-0.636744944849566	3.2700354560952	-12.8185480988963	8.02736164309187e-19	6.19990819148596e-17	32.5306774084134	No
Vasn	-1.55508154989461	3.47651524566188	-12.815735490347	8.10553702738481e-19	6.22850860510412e-17	32.5210467583875	Yes
Adamts19	-3.83007497222518	-0.588830627038203	-12.809185567537	8.29058582493374e-19	6.33852970797207e-17	32.4986151592761	Yes
Usp29	-4.40572831359094	-3.04280120555923	-12.8030632790128	8.46741321881521e-19	6.44119102042335e-17	32.4776430050996	Yes
Flrt1	-2.27550835650829	-0.0752988889332218	-12.7855832794753	8.99354964511864e-19	6.77709174253377e-17	32.4177375329295	Yes
Ccdc136	-1.50641470015603	0.685138054756419	-12.7854232333925	8.99851658243683e-19	6.77709174253377e-17	32.4171888563642	Yes
Rbp1	-1.6616124305688	3.27040715795582	-12.7774547619749	9.24935148513289e-19	6.93151894960108e-17	32.3898667761407	Yes
Faap20	-0.91574371435689	2.11350780172066	-12.7746221656765	9.34021000392052e-19	6.96512803149502e-17	32.3801524442029	No
RP23-15J3.10	-5.28069542025983	-1.57785323595853	-12.7559611471332	9.96175895625233e-19	7.39221113136018e-17	32.3161286156157	Yes
Pdgfrl	-1.72224428102234	1.04333008524827	-12.7464533750068	1.02943505655899e-18	7.60175018838535e-17	32.2834910136507	Yes
Kif5c	-1.59983011737422	0.723150114113422	-12.7357977699924	1.0680455081141e-18	7.84857907855886e-17	32.2468991620119	Yes
Serping1	-0.877701569427018	6.60228459417444	-12.7321274923302	1.08168095868057e-18	7.91037988043789e-17	32.2342918168318	No
Ap1s3	-3.99435428073834	-1.51733289236151	-12.7285002947025	1.09532923818074e-18	7.97167981133655e-17	32.2218307203059	Yes
Etv1	-1.83285154841263	3.61610565376315	-12.7040923735054	1.19181052711221e-18	8.60917942612539e-17	32.1379335260453	Yes
Arfgef3	-3.4628217258037	-1.35637215342131	-12.7034899291456	1.19429758190404e-18	8.60917942612539e-17	32.1358617631051	Yes
